facility_id,facility_name,facility_type,barangay_name,operator_type,capacity_persons_synth,staff_count_synth,operational_status_synth,has_backup_power_synth,has_water_storage_synth,access_road_condition_synth,latitude_wgs84_synth,longitude_wgs84_synth,last_inspected_synth,remarks_synth
FAC-170,Poblacion Barangay 4 Police/Peace and Order 2,Police/Peace and Order,Poblacion Barangay 4,Partner Institution,129,32,Operational,No,No,Good,14.019482,121.082526,2026-07-14,Verify signage
FAC-171,Sampaguita Police/Peace and Order 3,Police/Peace and Order,Sampaguita,Barangay,212,31,Operational,Yes,Yes,Poor,13.958258,121.156552,2026-09-05,Routine monitoring
FAC-172,Sico Police/Peace and Order 4,Police/Peace and Order,Sico,National Government,202,12,For Inspection,Yes,No,Fair,13.923196,121.093427,2026-07-25,Update contact details
FAC-173,Barangay 12 Police/Peace and Order 5,Police/Peace and Order,Barangay 12,Partner Institution,267,3,Operational,Yes,No,Fair,14.000143,121.117024,2026-08-05,Update contact details
FAC-174,Bolbok Police/Peace and Order 6,Police/Peace and Order,Bolbok,LGU,168,9,Operational,Yes,Yes,Fair,13.948409,121.171703,2026-07-19,Verify signage
FAC-175,Kayumanggi Police/Peace and Order 7,Police/Peace and Order,Kayumanggi,LGU,104,16,Operational,No,Yes,Poor,13.918892,121.134353,2026-07-10,Verify signage
FAC-176,Pagolingin Bata Police/Peace and Order 8,Police/Peace and Order,Pagolingin Bata,LGU,250,14,Operational,Yes,Yes,Good,13.89195,121.209803,2026-07-20,Check accessibility
FAC-177,Dagatan Public Market/Trading 1,Public Market/Trading,Dagatan,National Government,1267,29,Operational,No,No,Good,13.994558,121.093467,2026-07-21,Routine monitoring
FAC-178,Malitlit Public Market/Trading 2,Public Market/Trading,Malitlit,Partner Institution,912,7,Operational,Yes,Yes,Fair,13.900813,121.08258,2026-07-20,Check accessibility
FAC-179,Plaridel Public Market/Trading 3,Public Market/Trading,Plaridel,National Government,1058,19,Operational,Yes,No,Good,13.915645,121.132557,2026-07-04,
FAC-180,Poblacion Barangay 8 Public Market/Trading 4,Public Market/Trading,Poblacion Barangay 8,National Government,946,21,Operational,No,No,Good,13.909136,121.098726,2026-09-04,Verify signage
FAC-181,San Francisco Public Market/Trading 5,Public Market/Trading,San Francisco,Barangay,1128,31,Operational,No,Yes,Good,14.018889,121.238266,2026-07-16,Verify signage
FAC-182,Tambo Public Market/Trading 6,Public Market/Trading,Tambo,National Government,706,12,Operational,No,No,Good,13.902927,121.169535,2026-07-06,Update contact details
FAC-183,San Jose Material Recovery Facility 1,Material Recovery Facility,San Jose,LGU,116,35,Operational,Yes,Yes,Poor,13.944377,121.084792,2026-07-23,Verify signage
FAC-184,Tanguay Material Recovery Facility 2,Material Recovery Facility,Tanguay,Partner Institution,248,5,Operational,Yes,Yes,Good,13.984345,121.144245,2026-08-27,Routine monitoring
FAC-185,Bagong Pook Material Recovery Facility 3,Material Recovery Facility,Bagong Pook,National Government,176,33,Operational,Yes,No,Good,13.912365,121.120485,2026-07-23,Update contact details
FAC-186,Dagatan Material Recovery Facility 4,Material Recovery Facility,Dagatan,Barangay,284,8,Operational,No,Yes,Fair,13.969833,121.158489,2026-08-05,Routine monitoring
FAC-187,Malitlit Material Recovery Facility 5,Material Recovery Facility,Malitlit,National Government,251,6,Operational,Yes,No,Fair,13.977843,121.176757,2026-07-01,Verify signage
FAC-188,Plaridel Material Recovery Facility 6,Material Recovery Facility,Plaridel,Partner Institution,142,26,Operational,Yes,No,Good,13.939861,121.081458,2026-07-18,Routine monitoring
FAC-189,Poblacion Barangay 8 Material Recovery Facility 7,Material Recovery Facility,Poblacion Barangay 8,Partner Institution,57,16,Operational,No,Yes,Fair,13.9182,121.1303,2026-08-25,Verify signage
FAC-190,San Francisco Material Recovery Facility 8,Material Recovery Facility,San Francisco,Partner Institution,169,30,Operational,Yes,Yes,Fair,14.01111,121.205177,2026-09-08,Check accessibility
FAC-191,Tambo Material Recovery Facility 9,Material Recovery Facility,Tambo,Partner Institution,109,30,Operational,Yes,No,Poor,13.884881,121.109003,2026-07-26,Check accessibility
FAC-192,Antipolo Del Norte Material Recovery Facility 10,Material Recovery Facility,Antipolo Del Norte,National Government,163,15,Operational,Yes,Yes,Good,13.917142,121.161401,2026-07-21,Update contact details
